NAME,INDUSTRY,FUNDING ,HEADQUARTERS,CEO
6sense,Sales and Marketing,$426 M,"San Francisco, California",Jason Zintak
Abacus.AI,Data Science,$90 M,"San Francisco, California",Bindu Reddy
Abnormal Security,Cybersecurity,$74 M,"San Francisco, California",Evan Reiser
Amira Learning,Education,$21 M,"San Francisco, California",Mark Angel
AMP Robotics,Environment and Energy,$78 M,"Louisville, Colorado",Matanya Horowitz
Anyscale,AI Infrastructure,$160 M,"San Francisco, California",Robert Nishihara
Arize AI,Data Science,$23 M,"Berkeley, California",Jason Lopatecki
ASAPP,Customer Service,$400 M,"New York, New York",Gustavo Sapoznik
Aurora Solar,Environment and Energy,$523 M,"San Francisco, California",Christopher Hopper
Brain Technologies,Consumer Technology,$50 M,"San Mateo, California",Jerry Yue
Brightseed,Pharmaceutical,$115 M,"San Francisco, California",Jim Flatt
Canvas,Construction,$83 M,"San Francisco, California",Kevin Albert
ClosedLoop,Healthcare,$45 M,"Austin, Texas",Andrew Eye
Cohere,Data Science,$165 M,"Toronto, Ontario",Aidan Gomez
ConverseNow,Customer Service,$18 M,"Austin, Texas",Vinay Shukla
Cresta,Sales and Marketing,$157 M,"San Francisco, California",Zayd Enam
Databricks,Data Science,$3.6 B,"San Francisco, California",Ali Ghodsi
Dataiku,Data Science,$643 M,"New York, New York",Florian Douetteau
Deepcell,Biotech,$100 M,"Menlo Park, California",Maddison Masaeli
Domino Data Lab,Data Science,$228 M,"San Francisco, California",Nick Elprin
Eigen Technologies,Financial Services,$80 M,"New York, New York",Lewis Liu
Entos,Pharmaceutical,$58 M,"San Diego, California",Tom Miller
Facet,Media and Entertainment,$18 M,"San Francisco, California",Joe Reisinger
FarmWise,Agriculture,$65 M,"San Francisco, California",Sébastien Boyer
Forethought,Customer Service,$92 M,"San Francisco, California",Deon Nicholas
Generate Biomedicines,Pharmacutical,$420 M,"Cambridge, Massachusetts",Mike Nally
Genesis Therapeutics,Pharmacutical,$56 M,"Burlingame, California",Evan Feinberg
Glean,AI Infrastructure,$55 M,"Palo Alto, California",Arvind Jain
Hugging Face,AI Infrastructure,$160 M,"New York, New York",Clément Delangue
Intenseye,AI Infrastructure,$29 M,"New York, New York",Sercan Esen
Kintsugi Mindful Wellness,Healthcare,$28 M,"Berkeley, California",Grace Chang
Komodo Health,Healthcare,$314 M,"New York, NY and San Francisco, California",Arif Nathoo
Labelbox,Data Science,$180 M,"San Francisco, California",Manu Sharma
Mashgin,Retail,$74 M,"Palo Alto, California",Abhinai Srivastava
Matroid,AI Infrastructure,$33 M,"Palo Alto, California",Reza Zadeh
MetaMap,Financial Services,$86 M,"San Francisco, California",Filip Victor
Moveworks,Employee Support,$315 M,"Mountainview, California",Bhavin Shah
Mutiny,Sales and Marketing,$71 M,"San Francisco, California",Jaleh Rezaei
Nauto,Transportation and Logistics,$195 M,"Palo Alto, California",Stefan Heck
Netradyne,Transportation and Logistics,$197 M,"San Diego, California",Avneesh Agrawal
Nuro,Transportation and Logistics,$2 B,"Mountainview, California",Jiajun Zhu
OctoML,AI Infrastructure,$132 M,"Seattle, Washington",Luis Ceze
Overjet,Healthcare,$80 M,"Boston, Massachusetts",Wardah Inam
Scale AI,AI Infrastructure,$602 M,"San Francisco, California",Alex Wang
Sisu Data,Data Science,$129 M,"San Francisco, California",Peter Bailis
Sprig,Customer Service,$65 M,"San Francisco, California",Ryan Glasgow
Uniphore,Customer Service,$620 M,"Palo Alto, California",Umesh Sachdev
Verge Genomics,Pharmaceutical,$134 M,"San Francisco, California",Alice Zhang
Waabi,Transportation and Logistics,$83 M,"Toronto, Ontario",Raquel Urtasun
Whisper,Healthcare,$53 M,"San Francisco, California",Andrew Song
